open_time,open,high,low,close,volume
2025-06-17 02:53:00,371.88,372.73,371.20,371.57,67274.66516
2025-06-17 02:54:00,371.57,371.57,370.50,371.10,153177.62413
2025-06-17 02:55:00,371.09,371.09,369.02,369.30,590456.16077
2025-06-17 02:56:00,369.28,369.47,368.88,369.17,186376.31619
2025-06-17 02:57:00,369.18,369.19,368.00,368.14,298703.45590
2025-06-17 02:58:00,368.07,368.32,367.23,367.23,328726.72728
2025-06-17 02:59:00,367.23,367.70,366.12,367.35,574416.34457
2025-06-17 03:00:00,367.33,367.51,365.43,366.05,305792.06984
2025-06-17 03:01:00,366.05,366.05,363.94,364.82,983190.96974
2025-06-17 03:02:00,364.81,365.65,364.32,365.52,397627.47123
2025-06-17 03:03:00,365.46,365.46,364.02,364.64,228180.12812
2025-06-17 03:04:00,364.65,364.67,362.34,363.84,615164.64016
2025-06-17 03:05:00,363.87,365.43,363.87,364.98,361885.13434
2025-06-17 03:06:00,364.97,365.03,362.43,362.78,419606.65823
2025-06-17 03:07:00,362.74,363.03,361.42,362.31,371870.40651
2025-06-17 03:08:00,362.31,363.46,361.36,363.23,349878.59286
2025-06-17 03:09:00,363.30,363.31,360.41,360.74,649408.25188
2025-06-17 03:10:00,360.70,363.24,360.66,362.17,438079.31693
2025-06-17 03:11:00,362.17,362.17,357.34,357.92,2502877.10039
2025-06-17 03:12:00,357.92,358.92,355.55,356.03,2206475.74064
2025-06-17 03:13:00,356.03,356.13,350.13,350.68,3970869.92208
2025-06-17 03:14:00,350.68,354.04,348.00,354.00,2668195.72916
2025-06-17 03:15:00,354.01,355.33,352.40,355.33,1188138.49567
2025-06-17 03:16:00,355.35,356.87,354.03,355.87,1044847.66255
2025-06-17 03:17:00,355.86,356.44,355.03,355.55,547764.27818
2025-06-17 03:18:00,355.55,357.08,355.42,356.60,791226.27209
2025-06-17 03:19:00,356.61,356.73,354.04,356.73,862863.87793
2025-06-17 03:20:00,356.76,357.77,356.11,357.61,517685.46121
2025-06-17 03:21:00,357.60,359.27,357.53,358.60,643503.53202
2025-06-17 03:22:00,358.60,360.49,358.47,360.13,504513.90586
2025-06-17 03:23:00,360.18,360.60,359.28,359.52,267390.37486
2025-06-17 03:24:00,359.54,359.54,357.76,358.16,440303.58107
2025-06-17 03:25:00,358.14,359.82,358.09,359.73,390721.12324
2025-06-17 03:26:00,359.76,360.44,359.23,360.12,395236.96102
2025-06-17 03:27:00,360.12,362.14,359.90,361.27,805258.49425
2025-06-17 03:28:00,361.24,361.55,360.40,360.50,206759.93590
2025-06-17 03:29:00,360.50,361.50,359.84,361.41,308728.09256
2025-06-17 03:30:00,361.34,362.08,359.94,360.12,557196.81700
2025-06-17 03:31:00,360.12,360.98,359.58,360.23,124979.27280
2025-06-17 03:32:00,360.17,361.46,360.08,361.10,167639.26945
2025-06-17 03:33:00,361.07,361.16,359.99,360.05,131534.25023
2025-06-17 03:34:00,360.02,360.79,359.60,359.95,202443.51835
2025-06-17 03:35:00,359.95,360.98,359.84,360.56,187394.58157
2025-06-17 03:36:00,360.54,361.49,359.83,359.85,141071.00855
